2017-11-10 23:02:35,388 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] The service ready on spring started. service: cn.mldn.dibmp.ccc.service.IProvinceService, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:02:35,395 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service cn.mldn.dibmp.ccc.service.IProvinceService to local registry, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:02:35,397 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service cn.mldn.dibmp.ccc.service.IProvinceService to url dubbo://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IProvinceService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IProvinceService&methods=findAll&pid=8796&revision=dev&side=provider&timestamp=1510326155391&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:02:35,397 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Register dubbo service cn.mldn.dibmp.ccc.service.IProvinceService url dubbo://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IProvinceService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IProvinceService&methods=findAll&pid=8796&revision=dev&side=provider&timestamp=1510326155391&version=dev to registry registry://192.168.28.105:2182/com.alibaba.dubbo.registry.RegistryService?application=mldn-service-member&dubbo=2.5.6&pid=8796&registry=zookeeper&timeout=10000000&timestamp=1510326155391, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:02:35,398 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Register: dubbo://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IProvinceService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IProvinceService&methods=findAll&pid=8796&revision=dev&side=provider&timestamp=1510326155391&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:02:35,423 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Subscribe: provider://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IProvinceService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IProvinceService&methods=findAll&pid=8796&revision=dev&side=provider&timestamp=1510326155391&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:02:35,446 INFO [com.alibaba.dubbo.registry.zookeeper.ZookeeperRegistry] -  [DUBBO] Notify urls for subscribe url provider://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IProvinceService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IProvinceService&methods=findAll&pid=8796&revision=dev&side=provider&timestamp=1510326155391&version=dev, urls: [empty://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IProvinceService?anyhost=true&application=mldn-service-member&category=configurators&check=false&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IProvinceService&methods=findAll&pid=8796&revision=dev&side=provider&timestamp=1510326155391&version=dev], dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:02:35,456 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Dubbo SpringContainer started!, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:07:56,238 WARN [com.alibaba.dubbo.remoting.transport.AbstractServer] -  [DUBBO] All clients has discontected from /192.168.221.1:20880. You can graceful shutdown now., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:07:56,239 INFO [com.alibaba.dubbo.rpc.protocol.dubbo.DubboProtocol] -  [DUBBO] disconected from /192.168.221.1:4844,url:dubbo://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IWitemService?anyhost=true&application=mldn-service-member&channel.readonly.sent=true&codec=dubbo&default.timeout=10000000&dubbo=2.5.6&generic=false&heartbeat=60000&interface=cn.mldn.dibmp.ccc.service.IWitemService&methods=list&pid=8796&revision=dev&side=provider&timestamp=1510326153356&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:37:59,457 INFO [com.alibaba.dubbo.common.logger.LoggerFactory] - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2017-11-10 23:37:59,596 INFO [com.alibaba.dubbo.container.Main] -  [DUBBO] Use container type([spring]) to run dubbo serivce., dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:38:03,962 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] The service ready on spring started. service: cn.mldn.dibmp.ccc.service.IWitemService, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:38:04,131 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service cn.mldn.dibmp.ccc.service.IWitemService to local registry, dubbo version: 2.5.6, current host: 127.0.0.1
2017-11-10 23:38:04,131 INFO [com.alibaba.dubbo.config.AbstractConfig] -  [DUBBO] Export dubbo service cn.mldn.dibmp.ccc.service.IWitemService to url dubbo://192.168.221.1:20880/cn.mldn.dibmp.ccc.service.IWitemService?anyhost=true&application=mldn-service-member&default.timeout=10000000&dubbo=2.5.6&generic=false&interface=cn.mldn.dibmp.ccc.service.IWitemService&methods=list&pid=15480&revision=dev&side=provider&timestamp=1510328283982&version=dev, dubbo version: 2.5.6, current host: 127.0.0.1
